fold,segment_type,segment_value,n,cluster_mape,temporal_mape,winner,temporal_minus_cluster_mape
8,rto_decile,0,2062,4.937373547694222,4.942102291548512,cluster,0.004728743854289341
8,rto_decile,1,2061,4.871412025608795,4.884879582542861,cluster,0.013467556934065428
8,rto_decile,2,2062,4.85833372015697,4.881280498334605,cluster,0.022946778177635352
8,rto_decile,3,2061,5.152978606012647,5.172592332614956,cluster,0.019613726602308645
8,rto_decile,4,2062,5.025218345647435,5.056100013843075,cluster,0.03088166819564009
8,rto_decile,5,2061,5.400961209637592,5.457169794469492,cluster,0.056208584831900055
8,rto_decile,6,2061,5.559808966633339,5.611045033962854,cluster,0.05123606732951469
8,rto_decile,7,2062,5.55416066554607,5.619473472343502,cluster,0.06531280679743201
8,rto_decile,8,2061,5.65370741929759,5.734769875923186,cluster,0.08106245662559619
8,rto_decile,9,2062,5.6360323902951786,5.781893410065451,cluster,0.14586101977027255
8,volatility_bucket,0,4123,4.999618342038764,5.030610462641804,cluster,0.030992120603039908
8,volatility_bucket,1,4123,4.647378008800141,4.674095385811124,cluster,0.02671737701098298
8,volatility_bucket,2,4123,4.711380784695097,4.732115510690785,cluster,0.020734725995688486
8,volatility_bucket,3,4123,4.942473862934045,4.974973919101577,cluster,0.0325000561675326
8,volatility_bucket,4,4123,7.024066322030946,7.158787585113352,cluster,0.1347212630824055
8,trend_bucket,0,1617,6.020631376206153,6.01457413063424,temporal,-0.006057245571913228
8,trend_bucket,1,2693,3.9300166726628554,3.9056066379122854,temporal,-0.02441003475057002
8,trend_bucket,2,3696,3.8434344350566474,3.817061867831418,temporal,-0.026372567225229293
8,trend_bucket,3,5245,4.50377942990148,4.5076338710260915,cluster,0.0038544411246110855
8,trend_bucket,4,7364,6.842895368795259,7.0011879119306855,cluster,0.15829254313542673
8,outlier_bucket,0,8269,3.885030079166424,3.8568945521787197,temporal,-0.028135526987704385
8,outlier_bucket,1,5794,4.5776983104017175,4.578902118148713,cluster,0.0012038077469957997
8,outlier_bucket,2,3125,5.598226743444819,5.651568885482453,cluster,0.05334214203763388
8,outlier_bucket,3,3427,9.452780217116304,9.765550176240307,cluster,0.31276995912400274
8,Регион,Алтайский край,131,7.862385968586404,7.918058562404074,cluster,0.05567259381767009
8,Регион,Архангельская обл,146,5.5003670847495085,5.478099784057025,temporal,-0.022267300692483616
8,Регион,Астраханская обл,138,4.00296683382007,4.015284930062279,cluster,0.012318096242209364
8,Регион,Башкортостан Респ,615,7.735634896144693,7.840579365848193,cluster,0.1049444697034998
8,Регион,Белгородская обл,235,4.751977452381396,4.7520018090373,cluster,2.4356655904611557e-05
8,Регион,Брянская обл,228,3.697027470644529,3.728469840451423,cluster,0.03144236980689419
8,Регион,Владимирская обл,294,6.597394512272929,6.665506819028513,cluster,0.06811230675558377
8,Регион,Волгоградская обл,255,4.658123332686905,4.669892960423256,cluster,0.01176962773635104
8,Регион,Вологодская обл,204,8.332173671917747,8.360832341058693,cluster,0.028658669140945392
8,Регион,Воронежская обл,455,3.9716001078813368,4.030280610762043,cluster,0.05868050288070625
8,Регион,Ивановская обл,170,9.557904750215899,9.505377409241254,temporal,-0.0525273409746454
8,Регион,Калужская обл,231,5.365873927067987,5.4450133398944045,cluster,0.07913941282641712
8,Регион,Карелия Респ,125,6.026702993211129,6.189364350301002,cluster,0.16266135708987317
8,Регион,Кемеровская область - Кузбасс обл,268,6.042126682161775,6.0914570113311965,cluster,0.049330329169421816
8,Регион,Кировская обл,189,6.6735805419469925,6.653113577940552,temporal,-0.02046696400644077
8,Регион,Коми Респ,114,4.146822270279495,4.151358214962161,cluster,0.004535944682666049
