experiment_name,model_name,hypothesis_group,category,expected_direction,fold8_mape,fold9_mape,fold10_mape,mean_mape,weighted_mape_235,weighted_mape_127,delta_vs_current_best_fold10,safe_risk_score,exploratory_score,mean_abs_delta_vs_current_best,mean_rel_delta_vs_current_best,mean_abs_relative_delta_vs_current_best,max_rel_delta_vs_current_best,share_abs_delta_vs_current_best_gt_0p1pct,share_abs_delta_vs_current_best_gt_0p3pct,share_abs_delta_vs_current_best_gt_1pct,share_abs_delta_vs_current_best_gt_3pct,share_changed_stores,generated_submission,comment,lb_score,lb_mape,lb_verdict,delta_lb_vs_best
decile_beta_ratio_v1,mape_aware,low_rto,moderate,mixed,5.224111818504068,9.014317132245663,6.356879525345151,6.865102825364961,6.9275572660470885,6.775090276041144,-0.003458358404806461,6.77669786325621,6.775447517644492,3199.0772428555056,-3.0516242152650557e-06,8.931040083701347e-05,0.0007378890590611471,0.0,0.0,0.0,0.0,0.4,submissions/test_decile_beta_ratio_v1.csv,Разная beta ratio_shrink по decile РТО.,,,,
ratio_shrink_b0p06_c97_103,ratio_shrink,sent,reference,mixed,5.2240442407623355,9.01412870866971,6.360337883749957,6.866170277727335,6.929216402628359,6.777466684435145,0.0,6.777466684435145,6.777466684435145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Текущий лучший подтвержденный ratio_shrink.,95.88,4.1200000000000045,OK,0.0
baseline_last_month,baseline_last_month,sent,reference,mixed,5.197671924301005,9.031903165954883,6.365661473862552,6.865078854706147,6.931936071577942,6.782110857324863,0.005323590112594978,6.794908102454097,6.7861081341002,18177.47224380563,-0.000337884787485109,0.0005335050589820705,0.0015168874426618087,0.11069609507640069,0.0,0.0,0.0,1.0,,РТО предыдущего месяца.,95.86,4.14,OK,-0.01999999999999602
weighted_oof_global_v1,weighted_mixture,weighted_mixture,safe,mixed,5.30699361558066,9.01412870866971,6.360337883749957,6.893820069333443,6.945806277592023,6.785761621916977,0.0,6.89107224325436,6.788887484518321,25310.211189873557,0.0006750118882848443,0.0007572114664892472,0.040697460769806,0.26252728595682756,0.009944215377152558,0.00043657530924084406,4.8508367693427115e-05,1.0,submissions/test_weighted_oof_global_v1.csv,OOF-оптимизация глобальных весов с ограничением current_best >= 0.60.,,,,
segment_calibrated_region_rto_s0p20_c98_102,segment_calibrated,segment_calibration,safe,mixed,5.34615006987939,9.086404614080115,6.36866690198687,6.933740528648792,6.979484849193348,6.809962761194772,0.008329018236913122,7.054843562916495,6.816803819439022,26374.318165477478,0.0008943380538463134,0.0009814754653324697,0.004359974541299317,0.3824399708949794,0.024690759155954402,0.0,0.0,1.0,submissions/test_segment_calibrated_region_rto_v1.csv,"Сегментная калибровка bias по region_rto, shrink=0.20, clip=(0.98,1.02).",,,,
cluster_blend_v1,trajectory_cluster,clustering,moderate,mixed,5.264983464099799,9.009693903081324,6.379678922329825,6.884785429836984,6.94574432490927,6.794212372657122,0.01934103857986802,7.2616131886774316,6.804961993427592,34422.1234045744,2.46271027568821e-05,0.0009950643168790227,0.009062013705688028,0.5114237205918021,0.0486538927965074,0.0,0.0,1.0,submissions/test_cluster_blend_v1.csv,Blend current best с кластерным прогнозом.,,,,
selector_by_rto_decile_w0p25,segment_selector,selector,safe,mixed,5.228383943222558,9.044622398050214,6.314717008875463,6.8625744500494115,6.916422012497307,6.752064780145123,-0.04562087487449418,7.3996670101043085,6.757059201366009,41748.46484878687,0.0004571162079461341,0.0009090467313677143,0.05319913108991911,0.31166626243026924,0.06655348047538201,0.0064516129032258064,0.0006791171477079797,0.4999757458161533,submissions/test_selector_by_rto_decile_v1.csv,"Безопасный selector по сегменту rto_decile: альтернативная модель получает вес 25%, остальное current best.",,,,
selector_by_outlier_w0p25,segment_selector,selector,safe,mixed,5.233507289123418,9.251076977171353,6.327261345158419,6.937281870484397,6.985655223555299,6.802649065957506,-0.03307653859153792,7.48440330815183,6.809993919519756,35036.23982336481,0.00021055247565204452,0.001060079507467575,0.11825138933682883,0.3565850109143827,0.06980354111084162,0.00688818821246665,0.0015522677661896677,0.5390249818093621,,"Безопасный selector по сегменту outlier: альтернативная модель получает вес 25%, остальное current best.",,,,
segment_calibrated_trend_s0p20_c98_102,segment_calibrated,segment_calibration,safe,mixed,5.476260906308667,9.139722929922259,6.362533393811104,6.992839076680677,7.018435757143963,6.829344052283091,0.0021955100611465994,7.552838790719737,6.837892013172241,65821.08399628536,0.001506984455576952,0.001944883091937238,0.003275223594653258,0.664613145767645,0.07635217074945429,0.0,0.0,1.0,submissions/test_segment_calibrated_trend_v1.csv,"Сегментная калибровка bias по trend, shrink=0.20, clip=(0.98,1.02).",,,,
selector_by_region_rto_w0p25,segment_selector,selector,safe,mixed,5.233355708542089,9.037516694721042,6.317083757342984,6.862652053535371,6.916468028796222,6.752797539938506,-0.043254126406973015,7.646126219059161,6.759523717964994,39809.40418518562,7.870926717592496e-05,0.0011236982781478307,0.17196424310939074,0.31491632306572886,0.08930390492359933,0.013873393160320156,0.0011156924569488238,0.5304390007276255,,"Безопасный selector по сегменту region_rto: альтернативная модель получает вес 25%, остальное current best.",,,,
